1725393989.26	1	-19.9 C
1725394186.74	1	45.6 C
1725394187.74	2	22.5 C
1725394188.74	3	39.4 C
1725394189.74	4	39.5 C
1725394190.74	5	50.0 C
1725394191.74	6	30.9 C
1725394192.74	7	36.6 C
1725394193.74	8	54.2 C
1725394194.74	9	49.1 C
1725394195.74	10	44.2 C
1725394248.36	1	40.2 C
1725394249.36	2	39.5 C
1725394250.36	3	39.3 C
1725394251.36	4	34.8 C
1725394252.36	5	35.6 C
1725394253.36	6	37.2 C
1725394254.36	7	51.4 C
1725394255.36	8	42.3 C
1725394256.36	9	60.3 C
1725394257.36	10	57.2 C
1725394295.44	1	-13.3 C
1725394296.44	2	-2.2 C
1725394297.44	3	-4.8 C
1725394298.44	4	-5.8 C
1725394299.44	5	10.0 C
1725394300.44	6	-12.1 C
1725394301.44	7	5.2 C
1725394302.44	8	-16.9 C
1725394303.44	9	-9.7 C
1725394304.44	10	4.5 C
1725394326.75	1	53.6 C
1725394327.75	2	50.7 C
1725394328.75	3	38.0 C
1725394329.75	4	58.7 C
1725394330.75	5	51.7 C
1725394331.75	6	36.4 C
1725394332.75	7	61.2 C
1725394333.75	8	55.6 C
1725394334.75	9	29.9 C
1725394335.75	10	49.3 C
1725394387.42	1	26.5 C
1725394388.42	2	32.8 C
1725394389.42	3	19.9 C
1725394390.42	4	16.9 C
1725394391.42	5	39.6 C
1725394392.42	6	46.1 C
1725394393.42	7	42.3 C
1725394394.42	8	21.3 C
1725394395.43	9	17.7 C
1725394396.43	10	34.3 C
1725394422.52	1	27.7 C
1725394423.52	2	36.9 C
1725394424.52	3	29.0 C
1725394425.52	4	11.1 C
1725394426.52	5	29.2 C
1725394427.52	6	25.8 C
1725394428.52	7	44.1 C
1725394429.52	8	39.7 C
1725394430.52	9	24.4 C
1725394431.53	10	36.6 C
1725394536.07	1	-16.4 C
1725394537.07	2	-17.4 C
1725394538.07	3	-8.5 C
1725394539.07	4	-18.7 C
1725394540.07	5	-36.7 C
1725394541.07	6	-11.9 C
1725394542.08	7	-9.6 C
